Component,File,Element,Label,Event,Handler,Inferred Logic
mobile_nav.dart,shared\widgets\mobile_nav.dart,GestureDetector,"Unknown","onTap","onTap(0),","-"
mobile_nav.dart,shared\widgets\mobile_nav.dart,GestureDetector,"Unknown","onTap","onTap(1),","-"
mobile_nav.dart,shared\widgets\mobile_nav.dart,GestureDetector,"Unknown","onTap","onTap(2),","-"
mobile_nav.dart,shared\widgets\mobile_nav.dart,GestureDetector,"Unknown","onTap","onTap(3),","-"
mobile_nav.dart,shared\widgets\mobile_nav.dart,GestureDetector,"Unknown","onTap","onTap","-"
primary_button.dart,shared\widgets\primary_button.dart,ElevatedButton,"Unknown","onPressed","isLoading ? null","-"
secondary_button.dart,shared\widgets\secondary_button.dart,TextButton,"Unknown","onPressed","onPressed","-"
story_display.dart,shared\widgets\story_display.dart,IconButton,"Unknown","onPressed","setState(()","-"
story_display.dart,shared\widgets\story_display.dart,TextButton,"Unknown","onPressed","// Toggle all translations","-"
story_display.dart,shared\widgets\story_display.dart,InkWell,"Unknown","onTap","setState(() {","-"
story_display.dart,shared\widgets\story_display.dart,InkWell,"Unknown","onTap","setState(() {","-"
story_display.dart,shared\widgets\story_display.dart,GestureDetector,"Unknown","onTap","_speak(index, event['content']),","-"
story_display.dart,shared\widgets\story_display.dart,GestureDetector,"Unknown","onTap","setState(() {","-"
story_display.dart,shared\widgets\story_display.dart,GestureDetector,"Unknown","onTap","setState(() {","-"
story_display.dart,shared\widgets\story_display.dart,InkWell,"Unknown","onTap","onTap","-"
add_word_screen.dart,vocab\screens\add_word_screen.dart,IconButton,"Icon: LucideIcons.chevronLeft, color: Colors.white","onPressed","context.pop(),","-"
add_word_screen.dart,vocab\screens\add_word_screen.dart,ElevatedButton,"Unknown","onPressed","_isSaving ? null","-"
flashcards_screen.dart,vocab\screens\flashcards_screen.dart,ElevatedButton,"Unknown","onPressed","Navigator.pop(context),","-"
flashcards_screen.dart,vocab\screens\flashcards_screen.dart,GestureDetector,"Unknown","onTap","","-"
flashcards_screen.dart,vocab\screens\flashcards_screen.dart,GestureDetector,"Unknown","onTap","_controller.undo(),","-"
flashcards_screen.dart,vocab\screens\flashcards_screen.dart,GestureDetector,"Unknown","onTap","","-"
flashcards_screen.dart,vocab\screens\flashcards_screen.dart,GestureDetector,"Unknown","onTap","setState(()","-"
flashcards_screen.dart,vocab\screens\flashcards_screen.dart,GestureDetector,"Unknown","onTap","onTap","-"
memory_match_screen.dart,vocab\screens\memory_match_screen.dart,TextButton,"Unknown","onPressed","Navigator.pop(ctx);","-"
memory_match_screen.dart,vocab\screens\memory_match_screen.dart,TextButton,"Play Again","onPressed","Navigator.pop(ctx);","-"
memory_match_screen.dart,vocab\screens\memory_match_screen.dart,IconButton,"Icon: LucideIcons.chevronLeft, color: Colors.white","onPressed","context.pop(),","-"
memory_match_screen.dart,vocab\screens\memory_match_screen.dart,GestureDetector,"Unknown","onTap","_handleCardTap(card),","-"
time_challenge_screen.dart,vocab\screens\time_challenge_screen.dart,TextButton,"Unknown","onPressed","Navigator.pop(ctx);","-"
