Component Name,Type,Complexity Score,LOC,Hooks Count,3rd Party Libs,Rendered Children (Deep),HTML Elements,Path
AppSimulation,Component,226,1912,52,"react; framer-motion; @heroicons/react/24/solid","SparklesIcon; SpeakerWaveIcon; BookOpenIcon; AnimatePresence; BookPage; BoltIcon; StoryCreationView; StoryBookView; EndOptionsView; QuizPreview; CheckCircleIconSolid; LanguageIcon; MicrophoneIcon; PencilSquareIcon; ChevronLeftIcon; CpuChipIcon; HomeIcon; PaperAirplaneIcon; DesktopStoryViewer; MobileStoryViewer; DesktopDialogueViewer; MobileDialogueViewer; DesktopExam; MobileExam; DesktopGrammar; MobileGrammar","div; h2; label; span; button...",components/AppSimulation.jsx
MobileReader,Page,162,1150,39,"react; react-router-dom; framer-motion; @lottiefiles/dotlottie-react","AnimatePresence; ChevronLeft; BookOpen; Loader2; RotateCcw; Wand2; Search; VolumeX; Volume2; Library; Type; Maximize2; Minimize2; CheckCircle2; AlertCircle; DotLottieReact; Globe; FileText; Youtube; Upload; Icon; MobileMarkdownRenderer; GraduationCap; Clock; Trash2; MobileReaderPractice","div; motion; h1; button; span...",pages/mobile/MobileReader.jsx
MobilePodcastStudio,Page,109,840,24,"react; framer-motion; react-router-dom","ChevronLeft; Plus; AnimatePresence; Headphones; ChevronRight; Trash2; Clock; Sparkles; Pause; Play; AudioVisualizer; ChevronDown; MoreHorizontal; Music; Heart; Shuffle; Rewind; FastForward; Repeat","div; motion; button; h1; span...",pages/mobile/MobilePodcastStudio.jsx
MobileWords,Page,99,373,36,"react; react-router-dom; framer-motion; lucide-react","WifiOff; Search; Sparkles; AnimatePresence; Loader2; Pencil; Trash2; Plus","div; span; h1; input; motion...",pages/mobile/MobileWords.jsx
MobileFlashcard,Page,93,443,32,"react; react-router-dom; framer-motion; lucide-react; canvas-confetti","AnimatedSparkles; AnimatedTrophy; ChevronLeft; Check; AnimatePresence; AnimatedVolume; RatingFaces","div; motion; h2; span",pages/mobile/MobileFlashcard.jsx
MobileAIGateway,Page,88,653,17,"react; react-router-dom; framer-motion","AlertCircle; ChevronLeft; Cpu; RefreshCw; AnimatePresence; CheckCircle; OverviewTab; ModelsTab; KeysTab; StatusCard; Lock; Clock; Countdown; StatCard; Sparkles; StatusPill; TrendingUp; Plus; Key; Trash2; Icon","div; motion; button; h1; tab...",pages/mobile/MobileAIGateway.jsx
MobileExamCreate,Page,73,516,19,"react; react-router-dom; framer-motion","CheckCircle; ChevronLeft; AnimatePresence; Brain; GraduationCap; ListChecks; Icon; Sparkles; Loader2","div; motion; h2; br; span...",pages/mobile/MobileExamCreate.jsx
MobileExamPlay,Page,69,527,17,"react; react-router-dom; framer-motion","QuestionComponent; AlertTriangle; ChevronLeft; Clock; CheckCircle; Send; RotateCcw; Plus; AnimatePresence","div; motion; span; h2; h1...",pages/mobile/MobileExamPlay.jsx
MobileWordBuilder,Page,65,464,16,"react; react-router-dom; framer-motion; canvas-confetti","Loader2; AlertCircle; ChevronLeft; Sparkles; RotateCcw; AnimatePresence; Trophy; Lightbulb; Check; ArrowRight","div; h2; motion; span",pages/mobile/MobileWordBuilder.jsx
MobileGrammarReader,Page,64,281,19,"react; react-router-dom; framer-motion","Loader2; AnimatePresence; ChevronLeft; Type; Maximize2; MoreVertical; Edit2; Trash2; Minimize2; ChevronRight; MobileMarkdownRenderer; BookOpen","div; motion; button; span; h1...",pages/mobile/MobileGrammarReader.jsx
MobileExam,Page,59,376,14,"react; react-router-dom; framer-motion","ChevronLeft; AnimatePresence; Play; Brain; Sparkles; Clock; Eye; RotateCcw; Globe; Lock; Trash2; Users","div; motion; h1; tab; span...",pages/mobile/MobileExam.jsx
MobileGenStory,Page,56,431,14,"react; react-router-dom; framer-motion; @lottiefiles/dotlottie-react","DotLottieReact; TrashIcon; UserPlusIcon; PhotoIcon; MobileStoryDisplay; MobileAIWizardLayout","div; label; motion; span; input...",pages/mobile/MobileGenStory.jsx
MobileGrammar,Page,56,295,16,"react; react-router-dom; framer-motion","ChevronLeft; Plus; Search; Loader2; BookOpen; Sparkles; ChevronDown; ChevronRight; AnimatePresence","div; motion; h1; input; button...",pages/mobile/MobileGrammar.jsx
MobileHome,Page,56,454,13,"react; react-router-dom; framer-motion","AnimatePresence; Bell; Trophy; Zap; ChevronRight; Mic; AnimatedIcon","div; motion; h1; img; span...",pages/mobile/MobileHome.jsx
MobileAddWord,Page,54,374,16,"react; react-router-dom; lucide-react","Sparkles; ChevronDown; Check","div; button; h1; label; input...",pages/mobile/MobileAddWord.jsx
MobileReaderPractice,Component,53,338,13,"react; framer-motion","Loader2; XCircle; ChevronLeft; BookOpen; Pencil; AnimatePresence; Volume2; CheckCircle2; Plus; ArrowRight","div; button; span; motion; h2...",components/mobile/MobileReaderPractice.jsx
MobileGenDialogue,Page,52,369,14,"react; react-router-dom; framer-motion","IconComponent; TrashIcon; UserGroupIcon; ChatBubbleLeftRightIcon; MobileDialogueDisplay; MobileAIWizardLayout","div; label; motion; span; textarea...",pages/mobile/MobileGenDialogue.jsx
MobileMemoryMatch,Page,50,327,13,"react; react-router-dom; framer-motion; canvas-confetti","Loader2; ChevronLeft; Puzzle; RotateCcw; AnimatePresence; Trophy; Star; Sparkles","div; motion; span; h2",pages/mobile/MobileMemoryMatch.jsx
MobileLanguageSettings,Page,49,232,16,"react; react-router-dom; framer-motion; lucide-react","Check; ArrowLeft; Globe; ChevronRight; LanguagePicker","motion; div; h3; button; span...",pages/mobile/MobileLanguageSettings.jsx
MobileSecuritySettings,Page,49,250,14,"react; react-router-dom; framer-motion; lucide-react","EyeOff; Eye; ArrowLeft; Shield; AlertCircle; Lock; PasswordInput; Check","div; input; button; motion; h1...",pages/mobile/MobileSecuritySettings.jsx
HeroDashboardPreview,Component,48,318,11,"react; framer-motion; @heroicons/react/24/solid","SidebarItem; AnimatePresence; DashboardView; AIGeneratorView; CheckCircleIcon; CursorArrowRaysIcon; Icon; StatCard; SparklesIcon; PlusIcon","div; span; header; h2; motion...",components/HeroDashboardPreview.jsx
MagneticWords,Component,47,152,19,"react; framer-motion","Word","motion; div",components/MagneticWords.jsx
MobileStoryDisplay,Component,46,344,10,"react; framer-motion; @heroicons/react/24/solid","AdjustmentsHorizontalIcon; AnimatePresence; LanguageIcon; BookmarkSolidIcon; ChevronDownIcon; StopIcon; SpeakerWaveIcon; BookmarkIcon; SparklesIcon","span; div; h1; button; motion...",components/mobile/MobileStoryDisplay.jsx
